date,product_id,writeoff_qty,reason,writeoff_cost_rub
2024-11-27,23,0.5956,порча/бой при хранении,131.02
2024-11-28,9,4.2778,истечение срока годности,1368.87
2024-11-30,10,3.4403,истечение срока годности,1548.17
2024-11-30,21,1.1765,истечение срока годности,423.55
2024-11-30,23,0.7297,ошибка приготовления (брак),160.53
2024-12-02,24,0.2918,истечение срока годности,110.87
2024-12-03,21,1.9892,истечение срока годности,716.09
2024-12-04,20,0.8111,прочие причины,308.25
2024-12-05,12,0.5663,порча/бой при хранении,294.44
2024-12-07,20,0.8526,истечение срока годности,323.96
2024-12-09,22,0.6856,истечение срока годности,329.1
2024-12-14,9,4.6993,истечение срока годности,1503.8
2024-12-18,4,0.1819,порча/бой при хранении,545.88
2024-12-18,10,1.1663,истечение срока годности,524.82
2024-12-19,6,0.2774,истечение срока годности,1247.99
2024-12-19,11,3.409,прочие причины,1295.38
2024-12-20,22,1.2298,истечение срока годности,590.22
2024-12-21,24,0.4512,истечение срока годности,171.49
2024-12-22,12,0.1631,порча/бой при хранении,84.82
2024-12-23,23,1.2945,истечение срока годности,284.76
2024-12-24,10,1.324,истечение срока годности,595.78
2024-12-24,11,1.7008,истечение срока годности,646.36
2024-12-24,22,1.6463,истечение срока годности,790.21
2024-12-28,3,0.2926,порча/бой при хранении,1023.8
2024-12-28,22,0.7094,порча/бой при хранении,340.51
2024-12-29,8,10.1242,истечение срока годности,1822.36
2024-12-29,24,0.3362,истечение срока годности,127.75
2024-12-30,23,1.1609,истечение срока годности,255.4
2024-12-31,19,1.0387,истечение срока годности,436.27
2025-01-01,21,1.7624,истечение срока годности,634.48
2025-01-06,23,0.6812,истечение срока годности,149.86
2025-01-07,20,0.2939,истечение срока годности,111.68
2025-01-07,21,2.2638,истечение срока годности,814.98
2025-01-10,21,1.0797,истечение срока годности,388.74
2025-01-11,24,0.3649,истечение срока годности,138.66
2025-01-14,6,0.2571,истечение срока годности,1156.38
2025-01-14,8,6.0374,истечение срока годности,1086.72
2025-01-14,22,0.5272,истечение срока годности,253.05
2025-01-15,14,7.0563,порча/бой при хранении,1552.35
2025-01-18,9,2.7226,порча/бой при хранении,871.25
2025-01-23,23,1.075,ошибка приготовления (брак),236.51
2025-01-24,2,0.3641,истечение срока годности,1019.36
2025-01-25,9,2.727,истечение срока годности,872.69
2025-01-27,6,0.2639,истечение срока годности,1187.44
2025-01-27,10,1.0617,истечение срока годности,477.71
2025-01-29,6,0.2244,истечение срока годности,1009.57
2025-01-29,11,6.431,истечение срока годности,2443.77
2025-02-01,9,2.3014,истечение срока годности,736.45
2025-02-01,22,1.7168,истечение срока годности,823.99
2025-02-04,21,2.7004,истечение срока годности,972.15
2025-02-07,8,4.7306,истечение срока годности,851.49
2025-02-07,20,1.1306,истечение срока годности,429.61
2025-02-08,21,1.9013,истечение срока годности,684.49
2025-02-11,22,1.883,истечение срока годности,903.85
2025-02-12,2,0.143,истечение срока годности,400.69
2025-02-13,8,2.0344,истечение срока годности,366.19
2025-02-15,20,1.1397,ошибка приготовления (брак),433.13
2025-02-20,20,0.3476,ошибка приготовления (брак),132.06
2025-02-21,20,0.6303,порча/бой при хранении,239.53
2025-02-22,22,0.3578,ошибка приготовления (брак),171.78
2025-02-23,12,0.499,истечение срока годности,259.42
2025-02-25,12,0.2367,истечение срока годности,123.16
2025-02-26,22,0.5348,порча/бой при хранении,256.63
2025-02-27,5,0.2419,истечение срока годности,628.98
2025-03-01,24,0.4259,прочие причины,161.81
2025-03-02,21,2.0109,прочие причины,723.92
2025-03-03,24,0.8545,истечение срока годности,324.72
2025-03-07,12,0.4194,истечение срока годности,218.08
2025-03-08,23,0.7482,истечение срока годности,164.63
2025-03-11,22,1.6369,истечение срока годности,785.73
2025-03-11,23,0.2834,истечение срока годности,62.38
2025-03-12,11,4.6349,ошибка приготовления (брак),1761.29
2025-03-14,22,0.9591,истечение срока годности,460.33
2025-03-15,6,0.1036,истечение срока годности,465.73
2025-03-16,6,0.0921,истечение срока годности,414.03
2025-03-18,9,2.4896,истечение срока годности,796.61
2025-03-19,13,0.6619,истечение срока годности,317.7
2025-03-22,12,0.2847,порча/бой при хранении,148.03
2025-03-23,9,4.8129,истечение срока годности,1540.11
2025-03-25,9,4.6594,истечение срока годности,1490.99
2025-03-25,21,1.5458,истечение срока годности,556.53
2025-03-25,22,0.4061,порча/бой при хранении,194.96
2025-03-26,2,0.4492,ошибка приготовления (брак),1257.95
2025-03-27,24,1.1149,прочие причины,423.71
2025-03-28,5,0.2344,истечение срока годности,609.25
2025-03-28,19,1.8345,ошибка приготовления (брак),770.51
2025-03-29,2,0.5228,истечение срока годности,1463.85
2025-03-29,9,2.1581,порча/бой при хранении,690.62
2025-03-31,2,0.3941,ошибка приготовления (брак),1103.76
2025-04-01,8,2.2158,истечение срока годности,398.81
2025-04-01,9,1.8128,истечение срока годности,580.12
2025-04-07,11,4.5858,порча/бой при хранении,1742.61
2025-04-11,15,0.795,истечение срока годности,222.6
2025-04-13,26,0.0444,истечение срока годности,21.32
2025-04-14,6,0.2485,порча/бой при хранении,1118.56
2025-04-17,8,7.0686,порча/бой при хранении,1272.34
2025-04-20,13,0.3362,ошибка приготовления (брак),161.32
2025-04-21,21,1.3008,истечение срока годности,468.24
2025-04-22,23,0.6339,истечение срока годности,139.5
2025-04-23,6,0.0712,истечение срока годности,321.01
2025-04-23,8,10.2082,истечение срока годности,1837.5
2025-04-24,6,0.286,истечение срока годности,1286.82
2025-04-28,8,10.8855,истечение срока годности,1959.38
2025-04-29,23,0.2957,истечение срока годности,65.06
2025-05-03,1,0.1863,прочие причины,595.91
2025-05-03,17,1.741,истечение срока годности,504.88
2025-05-04,8,10.613,истечение срока годности,1910.34
2025-05-06,12,0.4693,истечение срока годности,243.97
2025-05-11,9,2.5478,прочие причины,815.24
2025-05-11,20,0.8837,истечение срока годности,335.84
2025-05-12,26,0.1187,истечение срока годности,57.05
2025-05-13,23,1.2509,ошибка приготовления (брак),275.18
2025-05-14,22,0.7203,истечение срока годности,345.7
2025-05-15,21,2.3157,ошибка приготовления (брак),833.67
2025-05-17,8,9.0513,истечение срока годности,1629.23
2025-05-18,23,0.9354,истечение срока годности,205.76
2025-05-19,6,0.0645,истечение срока годности,290.19
2025-05-19,12,0.8513,истечение срока годности,442.74
2025-05-23,6,0.2879,истечение срока годности,1295.51
2025-05-26,22,0.6138,истечение срока годности,294.68
2025-05-28,6,0.2307,истечение срока годности,1038.15
2025-05-29,8,10.0044,истечение срока годности,1800.81
2025-05-30,23,0.504,прочие причины,110.89
2025-05-31,6,0.1522,порча/бой при хранении,684.41
2025-06-04,6,0.2231,истечение срока годности,1003.83
2025-06-05,3,0.4586,истечение срока годности,1604.62
2025-06-05,9,3.6961,ошибка приготовления (брак),1182.76
2025-06-06,23,1.1136,порча/бой при хранении,244.99
2025-06-07,8,2.5527,истечение срока годности,459.47
2025-06-07,21,1.8922,истечение срока годности,681.17
2025-06-08,21,2.8017,истечение срока годности,1008.58
2025-06-09,6,0.1258,истечение срока годности,566.45
2025-06-12,12,0.8586,истечение срока годности,446.55
2025-06-12,26,0.1736,истечение срока годности,83.36
2025-06-15,26,0.0673,истечение срока годности,32.31
2025-06-16,12,0.5666,истечение срока годности,294.65
2025-06-17,21,1.6458,истечение срока годности,592.44
2025-06-17,22,1.4613,истечение срока годности,701.35
2025-06-19,10,4.1849,порча/бой при хранении,1883.25
2025-06-22,22,1.7828,истечение срока годности,855.75
2025-06-24,23,1.4208,ошибка приготовления (брак),312.61
2025-06-25,22,1.4568,истечение срока годности,699.24
2025-06-27,23,1.2624,истечение срока годности,277.74
2025-06-28,6,0.1746,истечение срока годности,785.99
2025-06-28,22,1.9357,ошибка приготовления (брак),929.22
2025-06-29,11,7.9499,ошибка приготовления (брак),3020.97
2025-06-30,22,0.7971,истечение срока годности,382.55
2025-07-02,24,0.9435,истечение срока годности,358.57
2025-07-03,8,5.6243,истечение срока годности,1012.39
2025-07-04,9,2.2233,истечение срока годности,711.5
2025-07-04,21,0.7775,истечение срока годности,279.88
2025-07-06,23,0.7827,истечение срока годности,172.17
2025-07-07,20,1.1293,ошибка приготовления (брак),429.11
2025-07-07,23,0.5037,истечение срока годности,110.81
2025-07-08,9,0.8704,ошибка приготовления (брак),278.5
2025-07-09,23,0.623,истечение срока годности,137.02
2025-07-12,23,1.1431,истечение срока годности,251.51
2025-07-14,12,0.8435,истечение срока годности,438.67
2025-07-16,6,0.1386,истечение срока годности,623.58
2025-07-17,10,1.5503,прочие причины,697.64
2025-07-17,11,3.3777,истечение срока годности,1283.53
2025-07-18,13,0.2015,истечение срока годности,96.77
2025-07-20,9,3.694,прочие причины,1182.06
2025-07-20,11,7.8982,истечение срока годности,3001.29
2025-07-20,12,0.3424,истечение срока годности,178.02
2025-07-20,14,5.1767,истечение срока годности,1138.87
2025-07-21,9,0.8333,истечение срока годности,266.65
2025-07-23,22,1.5476,истечение срока годности,742.87
2025-07-26,12,0.5549,истечение срока годности,288.47
2025-07-27,8,7.1197,истечение срока годности,1281.55
2025-07-27,23,0.3014,истечение срока годности,66.29
2025-07-29,2,0.1274,порча/бой при хранении,356.56
2025-07-29,4,0.1929,истечение срока годности,578.97
2025-07-31,10,2.7735,истечение срока годности,1248.04
2025-08-01,24,0.2101,истечение срока годности,79.84
2025-08-08,25,0.1086,истечение срока годности,59.71
2025-08-09,19,0.8717,прочие причины,366.09
2025-08-11,6,0.2842,истечение срока годности,1279.41
2025-08-11,22,0.6115,истечение срока годности,293.56
2025-08-12,10,1.8063,истечение срока годности,812.84
2025-08-15,2,0.6454,ошибка приготовления (брак),1807.02
2025-08-16,3,0.4708,истечение срока годности,1647.79
2025-08-16,10,1.3986,истечение срока годности,629.34
2025-08-16,22,1.2428,истечение срока годности,596.56
2025-08-16,24,0.957,истечение срока годности,363.66
2025-08-18,19,1.9355,истечение срока годности,812.87
2025-08-22,5,0.0457,ошибка приготовления (брак),118.64
2025-08-27,6,0.077,истечение срока годности,346.41
2025-08-28,23,0.967,истечение срока годности,212.73
2025-08-29,20,0.2294,истечение срока годности,87.14
2025-08-30,2,0.516,ошибка приготовления (брак),1444.95
2025-08-30,4,0.2952,истечение срока годности,885.63
2025-09-02,11,3.3829,ошибка приготовления (брак),1285.49
2025-09-05,11,4.621,истечение срока годности,1755.97
2025-09-09,12,0.3187,ошибка приготовления (брак),165.73
2025-09-10,24,0.9247,порча/бой при хранении,351.39
2025-09-13,4,0.1566,истечение срока годности,469.57
2025-09-14,10,3.6679,истечение срока годности,1650.58
2025-09-15,6,0.0973,ошибка приготовления (брак),438.12
2025-09-16,3,0.3129,истечение срока годности,1095.46
2025-09-16,8,5.8978,порча/бой при хранении,1061.61
2025-09-18,8,11.0718,ошибка приготовления (брак),1992.92
2025-09-19,10,1.8144,ошибка приготовления (брак),816.5
2025-09-19,22,1.4769,истечение срока годности,708.87
2025-09-19,23,0.3649,истечение срока годности,80.28
2025-09-20,21,0.5092,истечение срока годности,183.29
2025-09-23,24,0.5676,истечение срока годности,215.73
2025-09-27,15,0.7282,истечение срока годности,203.91
2025-09-28,12,0.7177,истечение срока годности,373.21
2025-10-02,6,0.2866,истечение срока годности,1289.9
2025-10-02,9,3.6862,прочие причины,1179.58
2025-10-04,24,0.9873,ошибка приготовления (брак),375.17
2025-10-07,12,0.2913,истечение срока годности,151.45
2025-10-09,22,1.1267,ошибка приготовления (брак),540.79
2025-10-11,6,0.1858,истечение срока годности,836.04
2025-10-14,5,0.0791,ошибка приготовления (брак),205.71
2025-10-15,8,4.8716,истечение срока годности,876.86
2025-10-16,12,0.2743,истечение срока годности,142.63
2025-10-16,19,1.0447,истечение срока годности,438.77
2025-10-16,22,0.4155,истечение срока годности,199.37
2025-10-18,8,2.2875,истечение срока годности,411.76
2025-10-18,23,1.1549,истечение срока годности,254.07
2025-10-19,3,0.1582,прочие причины,553.16
2025-10-19,8,10.0908,прочие причины,1816.36
2025-10-19,22,1.5897,прочие причины,762.99
2025-10-20,8,10.358,истечение срока годности,1864.46
2025-10-21,24,1.1528,порча/бой при хранении,438.07
2025-10-22,23,0.2803,истечение срока годности,61.67
2025-10-23,20,0.5906,истечение срока годности,224.45
2025-10-23,22,0.7274,истечение срока годности,349.17
2025-10-25,23,0.9954,порча/бой при хранении,218.99
2025-10-26,22,1.5537,ошибка приготовления (брак),745.74
2025-10-30,23,0.2858,ошибка приготовления (брак),62.9
